Number,Descriptor,Context,CharLimit,Text
00031,difficulty.menu.roubles_from_quests,Difficulty Menu,32,任務盧布報酬
00032,difficulty.menu.items_from_quests,Difficulty Menu,32,任務物品報酬
00033,difficulty.menu.service_price,Difficulty Menu,32,服務費用
00034,difficulty.menu.human_health,Difficulty Menu,32,人類生命
00035,difficulty.menu.human_damage_dealt,"Difficulty Menu, damage dealt to humans",32,人類傷害
00036,difficulty.menu.mutant_health,Difficulty Menu,32,變異生物生命
00037,difficulty.menu.mutant_damage_dealt,"Difficulty Menu, damage dealt to mutants",32,變異生物傷害
00038,difficulty.menu.lose_equipment,Difficulty Menu,32,丟失裝備
00039,difficulty.menu.lose_ammo,Difficulty Menu,32,丟失彈藥
00040,difficulty.menu.lose_medication,Difficulty Menu,32,丟失藥品
00041,difficulty.menu.lose_consumable,Difficulty Menu,32,丟失消耗品
00042,difficulty.menu.lose_keys,Difficulty Menu,32,丟失鑰匙
00043,difficulty.menu.lose_other_item,Difficulty Menu,32,丟失其他物品
00044,difficulty.menu.perma_death,Difficulty Menu,32,永久死亡
00045,difficulty.menu.traders_money,Difficulty Menu,32,商人現金
00046,difficulty.menu.price_weapons,Difficulty Menu,32,武器價格
00047,difficulty.menu.price_armors,Difficulty Menu,32,護甲價格
00048,difficulty.menu.price_backpacks,Difficulty Menu,32,背包價格
00049,difficulty.menu.price_ammo,Difficulty Menu,32,彈藥價格
00050,difficulty.menu.price_medications,Difficulty Menu,32,藥品價格
00051,trade.menu.buy_for,Trading menu,32,購買
00052,general.next,"General Usage, go forward a step or menu",16,繼續
00053,ui.back,User Interface,40,返回
00054,general.exit,"General Usage, go forward a step or menu",16,退出
00055,general.on,"General Usage, On as in enabled",16,開
00056,general.off,"General Usage, Off as in disabled",16,關
00057,general.go,"General Usage, select an option or go to a place",16,前往
00058,general.extras,"General Usage, indicating additional options",16,其他
00059,general.track,"General Usage, track a requirement or object",16,追蹤
00060,quest.reward.reward,Quest Rewards,24,報酬
00061,quest.reward.exp,Quest Rewards,16,經驗
00062,quest.reward.rep,Quest Rewards,16,聲望
00063,crafting.requirements,"General Usage, quest or crafting conditions",24,需求
00064,general.general,"General Usage, meaning general usage",24,普通
00065,general.deal,"General Usage, accepting a deal or offer",18,接受
00066,map.area.forest,Map/Area Name,28,森林
00067,quest.name.makeshift_camp,Quest names,64,臨時營地
00068,map.area.industrial_area,Map/Area Name,28,工業區
00069,map.area.swamp,Map/Area Name,28,沼澤
00070,map.area.mall,Map/Area Name,28,商場
00071,map.area.cnpp,Map/Area Name,28,核電站
00072,map.area.zakov,Map/Area Name,28,扎科夫
00073,map.area.rural_area,Map/Area Name,28,農業區
00074,trade.scrap.are_you_sure_you_want_to_scrap_this_item,Scrap Menu,72,確定要分解此物品嗎？
00075,trade.scrap.no_keep_it,Scrap Menu,32,不，留着吧
00076,trade.scrap.yes_destroy_it,Scrap Menu,32,是的
00077,map.marker.add_marker,Marker context menu,24,添加標記
00078,map.marker.remove_marker,Marker context menu,24,移除標記
00079,crafting.menu.medication,Crafting Menu,24,藥品
00080,trade.trader.ammunition,Trader Pages,48,彈藥
00081,storage.stash.food,Stash page name,32,食物
00082,crafting.menu.repair_kit,Crafting Menu,24,修理套件
00083,crafting.menu.repair_gear,Crafting Menu,24,修理裝備
00084,crafting.menu.mod_weapons,Crafting Menu,24,改裝武器
00085,crafting.menu.modules_tier_1,Crafting Menu,24,一階模組
00086,crafting.menu.modules_tier_2,Crafting Menu,24,二階模組
00087,crafting.menu.required_items,Crafting Menu,24,所需物品
00088,crafting.menu.no_additional_requirements,Crafting Menu,32,無額外需求
00089,crafting.menu.craft,Crafting Menu,24,製作
00090,inventory.menu.inventory,Inventory Menu,32,儲藏
00091,inventory.menu.ground,Inventory Menu,32,地面
00092,item.medication.anti_bleed_gel,Medication Items,32,止血凝膠
00093,item.medication.bandage,Medication Items,32,繃帶
00094,item.medication.sterilised_bandage,Medication Items,32,消毒繃帶
00095,item.medication.first_aid_medikit,Medication Items,32,急救醫療包
00096,item.medication.professional_medikit,Medication Items,32,專業醫療包
00097,item.medication.improvised_medikit,Medication Items,32,臨時醫療包
00098,item.medication.standard_medikit,Medication Items,32,標準醫療包
00099,item.medication.modern_medikit,Medication Items,32,現代醫療包
00100,item.medication.medikit_t_000,Medication Items,32,T -000 醫療包
00101,item.medication.anti_rad_pills,Medication Items,32,抗輻射藥片
00102,loadout.name.assault,Loadout name,20,突擊手
00103,loadout.the_tried_and_tested_choice_a,Loadouts - Description,160,經典可靠的組合。在常規距離內都能有效打擊敵人，但沒有突出的優勢。
00104,loadout.name.bruiser,Loadout name,20,拳擊手
00105,loadout.get_in_close_and_make_them_hurt_what,Loadouts - Description,160,貼身肉搏，予以敵人迎頭痛擊！雖然射程不足，但在近距離擁有壓倒性優勢。
00106,loadout.name.marksman,Loadout name,20,神射手
00107,loadout.they_ll_never_see_it_coming_scout_out,Loadouts - Description,160,他們永遠無法預見死亡的到來。一個接着一個，遠遠地幹掉敵人。
00108,loadout.name.ranger,Loadout name,20,游擊隊員
00109,loadout.precision_on_the_move_great_at_mid_to,Loadouts - Description,160,飄搖不定，若即若離，依靠射程優勢打擊敵人，在他們逼近時則用短兵還以顏色。
00110,loadout.name.tactical_operator,Loadout name,20,戰術幹員
00111,loadout.who_needs_big_guns_reposition_quickly,Loadouts - Description,160,以小博大，緊張刺激！用手槍和閃光彈確立優勢。
00112,loadout.someone_packed_light_this_is_going_to,Loadouts - Description,160,輕裝上陣，沒什麼可怕的。
00113,item.backpack.backpack_1,Backpacks,48,1級背包
00114,item.backpack.military_standard_backpack,Backpacks,48,標準軍用背包
00115,item.backpack.military_high_capacity_backpack,Backpacks,48,大容量軍用背包
00116,item.backpack.rtu_backpack,Backpacks,48,RTU 背包
00117,item.backpack.rtu_000_backpack,Backpacks,48,RTU-000 背包
00118,item.backpack.szx_100_backpack,Backpacks,48,SZX-100 背包
00119,item.backpack.hfy_backpack,Backpacks,48,HFY 背包
00120,item.backpack.tq001_backpack,Backpacks,48,TQ001 背包
00121,item.backpack.exe_backpack,Backpacks,48,EXE 背包
00122,item.backpack.zxop_500_backpack,Backpacks,48,ZXOP-500 背包
00123,item.backpack.school_bag,Backpacks,48,書包
00124,item.backpack.santa_s_backpack,Backpacks,48,聖誕背包
00125,item.backpack.backpack_small,Backpacks,48,小型背包
00126,item.document.class_a_documents,Documents,48,A 級檔案
00127,item.document.class_b_documents,Documents,48,B 級檔案
00128,item.document.class_c_documents,Documents,48,C 級檔案
00129,item.document.class_d_documents,Documents,48,D 級檔案
00130,item.document.secret_documents_hand_these_to_a,Documents,96,祕密檔案。將其交給陣營首領可提升聲望。
00131,npc.electrical_anomaly,NPCs,48,閃電異常
00132,npc.fiery_anomaly,NPCs,48,火焰異常
00133,npc.arman,NPCs,48,阿爾曼
00134,npc.lazar,NPCs,48,拉扎爾
00135,npc.lazar_s_guard,NPCs,48,拉扎爾的近衛
00136,npc.orel,NPCs,48,奧廖爾
00137,npc.doctor,NPCs,48,醫生
00138,npc.networker,NPCs,48,聯絡員
00139,npc.barman,NPCs,48,酒保
00140,npc.big,NPCs,48,「大塊頭」
00141,npc.blink,NPCs,48,「閃爍」
00142,npc.boar,NPCs,48,野豬
00143,npc.mutated_boar,NPCs,48,變異野豬
00144,npc.soldier_gedeon_bogdanov,NPCs,48,士兵 - 吉迪恩·博格達諾夫
00145,npc.conductor,NPCs,48,列車長
00146,npc.soldier_ermolai_vlasov,NPCs,48,士兵 - 埃爾莫萊·弗拉索夫
00147,npc.joel_emerson,NPCs,48,喬爾·埃默森
00148,npc.max_parker,NPCs,48,馬克斯·帕克
00149,npc.daniel_baker,NPCs,48,丹尼爾·貝克
00150,npc.crow,NPCs,48,烏鴉
00151,npc.the_networker,NPCs,48,聯絡員
00152,npc.engineer_volkov,NPCs,48,工程師 - 沃爾科夫
00153,npc.igor_kuzmin,NPCs,48,伊戈爾·庫茲明
00154,npc.ghoul,NPCs,48,食屍鬼
00155,npc.soldier_yakim_borisov,NPCs,48,士兵 - 雅基姆·鮑里索夫
00156,npc.soldier_vadim_borisov,NPCs,48,士兵 - 瓦迪姆·鮑里索夫
00157,npc.soldier_kodiak_vlasov,NPCs,48,士兵 - 科迪亞克·弗拉索夫
00158,npc.the_guide,NPCs,48,嚮導
00159,npc.infestation,NPCs,48,感染源
00160,npc.mr_junk,NPCs,48,垃圾佬
00161,npc.kibba,NPCs,48,「肌霸」
00162,npc.reynard_shepard,NPCs,48,雷納德·謝潑德
00163,npc.general_artemovich,NPCs,48,將軍 - 阿爾捷莫維奇
00164,npc.henry_davies,NPCs,48,亨利·戴維斯
00165,npc.the_doctor,NPCs,48,醫生
00166,npc.dimitriy_alexeev,NPCs,48,德米特里·阿列克謝耶夫
00167,npc.crimson_assassin,NPCs,48,深紅公司殺手
00168,npc.sergeant_desya_popo,NPCs,48,中士 - 德西亞·波波
00169,npc.rabbit,NPCs,48,兔子
00170,npc.rat,NPCs,48,老鼠
00171,npc.santa_claus,NPCs,48,聖誕老人
00172,npc.chief_scientist_isaak_fedorov,NPCs,48,首席科學家 - 伊薩克·費奧多羅夫
00173,npc.mutated_spider,NPCs,48,變異蜘蛛
00174,npc.spine,NPCs,48,「脊椎」
00175,npc.alexei_andreevich,NPCs,48,阿列克謝·安德烈耶維奇
00176,npc.osip_andreevich,NPCs,48,奧西普·安德烈耶維奇
00177,npc.riley_evans,NPCs,48,萊利·埃文斯
00178,npc.viktor_tutorialovich,NPCs,48,維克托·圖圖洛維奇
00179,npc.unknown,NPCs,48,神祕人
00180,npc.wolf,NPCs,48,狼
00181,npc.zombie,NPCs,48,喪屍
00182,armor.repair.armor_repair_kit,Armor Repair,48,護甲修理套件
00183,armor.repair.to_use_this_repair_kit_put_the_weapon,Armor Repair Description,256,要使用此修理套件，請將武器裝備至主欄位，並右鍵使用以進行修理
00184,item.desc.to_use_this_repair_kit_put_the_weapon,Item description,256,要使用此修理套件，請將武器裝備至主欄位，並右鍵使用以進行修理
00185,armor.repair.to_use_this_repair_kit_equip_the_armor,Armor Repair Description,256,要使用此修理套件，請裝備護甲，並右鍵點擊修理套件以進行修理
00186,weapon.repair.weapon_repair_kit,Weapon Repair,48,武器修理套件
00187,stats.total_hunts,Stats,48,狩獵行動次數
00188,stats.hunts_survived,Stats,48,成功撤離次數
00189,stats.survival_rate,Stats,48,成功率% 
00190,stats.best_survival_streak,Stats,48,最多連續撤離次數
00191,stats.current_survival_streak,Stats,48,當前連續撤離次數
00192,stats.total_money_received,Stats,48,狩獵行動總收入
00193,stats.most_money_from_a_single_hunt,Stats,48,單次狩獵最高收入
00194,stats.most_exp_from_a_single_hunt,Stats,48,單次狩獵最高獲得經驗
00195,stats.total_human_killed,Stats,48,擊殺人類
00196,stats.bandits,Stats,48,強盜
00197,stats.green_army,Stats,48,綠軍
00198,train.skin.crimson_corporation,Train Skin Option Name,64,深紅公司
00199,stats.scientist,Stats/Factions,48,科學家
00200,stats.loner,Stats/Factions,48,獨狼
00201,stats.x,Stats,48,???
00202,stats.boss_lazar,Stats,48,Boss：拉扎爾
00203,stats.boss_arman,Stats,48,Boss：阿爾曼
00204,stats.boss_orel,Stats,48,Boss：奧廖爾
00205,stats.boss_kibba,Stats,48,Boss：「肌霸」
00206,stats.total_mutants_killed,Stats,48,擊殺變異生物
00207,stats.total_chest_opened,Stats,48,搜刮容器
00208,stats.tool_box,Stats,48,工具箱
00209,stats.medication_box,Stats,48,醫療用品箱
00210,stats.electronics_box,Stats,48,電子元件箱
00211,stats.bag,Stats,48,袋子
00212,stats.cabinet,Stats,48,櫃子
00213,stats.safe,Stats,48,保險箱
00214,stats.wood_box,Stats,48,木箱
00215,stats.hidden_stash,Stats,48,物資藏匿點
00216,stats.weapon_box,Stats,48,武器箱
00217,stats.attachment_box,Stats,48,配件箱
00218,stats.vending_machine,Stats,48,自動販賣機
00219,stats.crystal,Stats,48,水晶
00220,chest.air_drop,Chests,64,空投
00221,trade.tikhon_romanov,Traders,48,季洪·羅曼諾夫
00222,trade.trader.medication_and_food,Trader Pages,48,醫療用品和食物
00223,trade.trader.equipment,Trader Pages,48,裝備
00224,trade.trader.pistol_and_smg,Trader Pages,48,手槍和衝鋒槍
00225,weapon.type.shotgun,Trader Pages,48,霰彈槍
00226,trade.trader.sniper_rifle_and_dmr,Trader Pages,48,狙擊步槍和精確射手步槍
00227,trade.trader.stock_and_barrel,Trader Pages,48,槍托和槍管
00228,trade.trader.magazine,Trader Pages,48,彈匣
00229,trade.trader.handguard_and_pistol_grip,Trader Pages,48,護木和手槍握把
00230,trade.trader.attachment_and_scope,Trader Pages,48,配件和瞄具
00231,base.upgrade.building_kit_ammo_1,Upgrade Base Kit,48,建造套件：彈藥 1
00232,base.upgrade.building_kit_ammo_2,Upgrade Base Kit,48,建造套件：彈藥 2
00233,base.upgrade.building_kit_bedroom_1,Upgrade Base Kit,48,建造套件：臥室 1
00234,base.upgrade.building_kit_bedroom_2,Upgrade Base Kit,48,建造套件：臥室 2
00235,base.upgrade.building_kit_forge_1,Upgrade Base Kit,48,建造套件：鍛造台 1
00236,base.upgrade.building_kit_forge_2,Upgrade Base Kit,48,建造套件：鍛造台 2
00237,base.upgrade.building_kit_garden_1,Upgrade Base Kit,48,建造套件：花園 1
00238,base.upgrade.building_kit_garden_2,Upgrade Base Kit,48,建造套件：花園 2
00239,base.upgrade.building_kit_gym_1,Upgrade Base Kit,48,建造套件：健身房 1
00240,base.upgrade.building_kit_gym_2,Upgrade Base Kit,48,建造套件：健身房 2
00241,base.upgrade.building_kit_infirmary_1,Upgrade Base Kit,48,建造套件：醫務室 1
00242,base.upgrade.building_kit_infirmary_2,Upgrade Base Kit,48,建造套件：醫務室 2
00243,base.upgrade.building_kit_kitchen_1,Upgrade Base Kit,48,建造套件：廚房 1
00244,base.upgrade.building_kit_kitchen_2,Upgrade Base Kit,48,建造套件：廚房 2
00245,base.upgrade.building_kit_radio_station_1,Upgrade Base Kit,48,建造套件：廣播電臺 1
00246,base.upgrade.building_kit_radio_station_2,Upgrade Base Kit,48,建造套件：廣播電臺 2
00247,base.upgrade.building_kit_recycling_1,Upgrade Base Kit,48,建造套件：回收站 1
00248,base.upgrade.building_kit_recycling_2,Upgrade Base Kit,48,建造套件：回收站 2
00249,base.upgrade.building_kit_scavenger_1,Upgrade Base Kit,48,建造套件：清道夫 1
00250,base.upgrade.building_kit_scavenger_2,Upgrade Base Kit,48,建造套件：清道夫 2
00251,base.upgrade.building_kit_shooting_range_1,Upgrade Base Kit,48,建造套件：射擊場 1
00252,base.upgrade.building_kit_shooting_range_2,Upgrade Base Kit,48,建造套件：射擊場 2
00253,base.upgrade.building_kit_storage_1,Upgrade Base Kit,48,建造套件：儲存 1
00254,base.upgrade.building_kit_storage_2,Upgrade Base Kit,48,建造套件：儲存 2
00255,base.upgrade.building_kit_workshop_1,Upgrade Base Kit,48,建造套件：工坊 1
00256,base.upgrade.building_kit_workshop_2,Upgrade Base Kit,48,建造套件：工坊 2
00257,weapon.mod.foregrip,Weapon Mods,64,前握把
00258,weapon.mod.muzzle_brake_ppd_3c_for_9x18_9x19,Weapon Mods,64,9x18、9x19 PPD-3C 制退器
00259,weapon.mod.tr_15_wm_stock_war_machine,Weapon Mods,64,TR-15「戰爭機器」槍托
00260,weapon.mod.tr_15_b_mag_magazine_gen_t3_desert,Weapon Mods,64,TR-15 B 沙色彈匣 GEN T3
00261,weapon.mod.tr_15_pistol_grip,Weapon Mods,64,TR-15 手槍握把
00262,weapon.mod.batko_mkm_handguard,Weapon Mods,64,Batko MKM 護木
00263,weapon.mod.ec_standard_stock,Weapon Mods,64,EC 標準槍托
00264,weapon.mod.vs_98_5_round_magazine,Weapon Mods,64,VS-98 5發彈匣
00265,weapon.mod.ec_standard_handguard,Weapon Mods,64,EC 標準護木
00266,weapon.mod.suppressor_762x25,Weapon Mods,64,7.62x25 消音器
00267,weapon.mod.ec_series_long_barrel,Weapon Mods,64,EC 長槍管
00268,weapon.mod.milosun_red_dot,Weapon Mods,64,Milosun 紅點瞄準鏡
00269,weapon.mod.prk_standard_handguard,Weapon Mods,64,PRK 標準護木
00270,weapon.mod.f90_attachment_rail,Weapon Mods,64,F90 導軌
00271,weapon.mod.nc_47_long_barrel,Weapon Mods,64,NC 47 長槍管
00272,weapon.mod.grusa_double_rail,Weapon Mods,64,Grusa 雙導軌
00273,weapon.mod.g76_short_barrel,Weapon Mods,64,G76 短槍管
00274,weapon.mod.fanaz_standard_pistol_grip,Weapon Mods,64,Fanaz 標準手槍握把
00275,weapon.mod.sha_12_long_suppressor,Weapon Mods,64,Sha-12 長消音器
00276,weapon.mod.n4o1_standard_stock,Weapon Mods,64,N4o1 標準槍托
00277,weapon.mod.tr_15_black_handguard,Weapon Mods,64,TR-15 黑色護木
00278,weapon.mod.zz_vel_magazine,Weapon Mods,64,ZZ VEL 彈匣
00279,weapon.mod.ec_wooden_foregrip_with_rail,Weapon Mods,64,EC 木質導軌前握把
00280,weapon.mod.frd_wooden_stock,Weapon Mods,64,FRD 木質槍托
00281,weapon.mod.ec_b_mag_magazine_gen_t3_desert,Weapon Mods,64,EC B 沙色彈匣 GEN T3
00282,weapon.mod.mkm_handguard,Weapon Mods,64,MKM 護木
00283,weapon.mod.ec_desert_handguard,Weapon Mods,64,EC 沙色護木
00284,weapon.mod.spec_scope,Weapon Mods,64,Spec 瞄準鏡
00285,weapon.mod.skop_standard_handguard,Weapon Mods,64,Skop 標準護木
00286,weapon.mod.boulder_standard_grip,Weapon Mods,64,Boulder 標準握把
00287,weapon.mod.nb5_pistol_grip,Weapon Mods,64,NB5 手槍握把
00288,weapon.mod.n1o_standard_stock,Weapon Mods,64,N1o 標準槍托
00289,weapon.mod.g76_standard_stock,Weapon Mods,64,G76 標準槍托
00290,weapon.mod.fanaz_60_round_magazine,Weapon Mods,64,Fanaz 60發彈匣
00291,weapon.mod.muzzle_brake_7_62x51_and_7_62x39_revenge,Weapon Mods,64,7.62x51、7.62x39「復仇」制退器
00292,weapon.mod.tr_15_tactical_stock_grey,Weapon Mods,64,TR-15 灰色戰術槍托
00293,weapon.mod.tr_15_standard_magazine,Weapon Mods,64,TR-15 標準彈匣
00294,weapon.mod.tr_15_desert_pistol_grip,Weapon Mods,64,TR-15 沙色手槍握把
00295,weapon.mod.stv_40_15_round_magazine,Weapon Mods,64,STV-40 15發彈匣
00296,weapon.mod.vs_98_10_round_magazine,Weapon Mods,64,VS-98 10發彈匣
00297,weapon.mod.suppressor_5_7x28,Weapon Mods,64,5.7x28 消音器
00298,weapon.mod.ec_series_short_barrel,Weapon Mods,64,EC 短槍管
00299,weapon.mod.edatech_dot,Weapon Mods,64,Edatech 紅點瞄準鏡
00300,weapon.mod.prk_standard_grip,Weapon Mods,64,PRK 標準握把
00301,weapon.mod.nb5_stock,Weapon Mods,64,NB5 槍托
00302,weapon.mod.nc_47_short_barrel,Weapon Mods,64,NC 47 短槍管
00303,weapon.mod.grusa_single_rail,Weapon Mods,64,Grusa 單導軌
00304,weapon.mod.edl_10_round_magazine,Weapon Mods,64,EDL 10發彈匣
00305,weapon.mod.sha_12_short_suppressor,Weapon Mods,64,Sha-12 短消音器
00306,weapon.mod.suppressor_5_56x45_cak_cbss_desert,Weapon Mods,64,5.56x45 CAK CBSS 沙色消音器
00307,weapon.mod.tr_15_handguard_lone_moon,Weapon Mods,64,TR-15「孤月」護木
00308,weapon.mod.zz_vel_handguard,Weapon Mods,64,ZZ VEL 護木
00309,weapon.mod.ec_wooden_foregrip,Weapon Mods,64,EC 木質前握把
00310,weapon.mod.frd_20_round_magazine,Weapon Mods,64,FRD 20發彈匣
00311,weapon.mod.ec_standard_magazine,Weapon Mods,64,EC 標準彈匣
00312,weapon.mod.suppressor_9x19,Weapon Mods,64,9x19 消音器
00313,weapon.mod.ec_handguard,Weapon Mods,64,EC 護木
00314,weapon.mod.cu_scope,Weapon Mods,64,CU 瞄準鏡
00315,weapon.mod.skop_standard_pistol_grip,Weapon Mods,64,Skop 標準手槍握把
00316,weapon.mod.bbsh_drum_magazine,Weapon Mods,64,BBsH 彈鼓
00317,weapon.mod.nb153_stock,Weapon Mods,64,NB153 槍托
00318,weapon.mod.tactical_green_laser,Weapon Mods,64,戰術綠色雷射
00319,weapon.mod.g76_long_handguard_desert,Weapon Mods,64,G76 沙色長護木
00320,weapon.mod.fanaz_30_round_magazine,Weapon Mods,64,Fanaz 30發彈匣
00321,weapon.mod.muzzle_brake_5_56x45_revenge,Weapon Mods,64,5.56x45「復仇」制退器
00322,weapon.mod.tr_15_tactical_stock_desert,Weapon Mods,64,TR-15 沙色戰術槍托
00323,weapon.mod.tr_15_iron_sight,Weapon Mods,64,TR-15 金屬瞄具
00324,weapon.mod.n4o1_standard_pistol_grip,Weapon Mods,64,N4o1 標準手槍握把
00325,weapon.mod.stv_40_10_round_magazine,Weapon Mods,64,STV-40 10發彈匣
00326,weapon.mod.ec_stock,Weapon Mods,64,EC 槍托
00327,weapon.mod.stas_12_standard_stock,Weapon Mods,64,Stas 12 標準槍托
00328,weapon.mod.suppressor_5_45x39_tbs,Weapon Mods,64,5.45x39 TBS 消音器
00329,weapon.mod.ec_101_tactical_magazine,Weapon Mods,64,EC-101 戰術彈匣
00330,weapon.mod.alton_scope,Weapon Mods,64,Alton 瞄準鏡
00331,weapon.mod.renindon_700_extended_magazine,Weapon Mods,64,Renindon 700 擴展彈匣
00332,weapon.mod.n1o_skop_magazine_50_round,Weapon Mods,64,N1o/Skop 50發彈鼓
00333,weapon.mod.grusa_tactical_suppressor,Weapon Mods,64,Grusa 戰術消音器
00334,weapon.mod.edl_5_round_magazine,Weapon Mods,64,EDL 5發彈匣
00335,weapon.mod.sha_12_standard_brake,Weapon Mods,64,Sha-12 標準制退器
00336,weapon.mod.suppressor_5_56x45_cak_cbss,Weapon Mods,64,5.56x45 CAK CBSS 消音器
00337,weapon.mod.tr_15_desert_handguard,Weapon Mods,64,TR-15 沙色護木
00338,weapon.mod.zz_vel_pistol_grip,Weapon Mods,64,ZZ VEL 手槍握把
00339,weapon.mod.ec_74u_handguard,Weapon Mods,64,EC-74U 護木
00340,weapon.mod.frd_10_round_magazine,Weapon Mods,64,FRD 10發彈匣
00341,weapon.mod.suppressor_9x18,Weapon Mods,64,9x18 消音器
00342,weapon.mod.ec_standard_pistol_grip,Weapon Mods,64,EC 標準手槍握把
00343,weapon.mod.tsu_scope,Weapon Mods,64,TSU 瞄準鏡
00344,weapon.mod.skop_long_barrel,Weapon Mods,64,Skop 長槍管
00345,weapon.mod.bbsh_standard_magazine,Weapon Mods,64,BBsH 標準彈匣
00346,weapon.mod.tactical_red_laser,Weapon Mods,64,戰術紅色雷射
00347,weapon.mod.g76_long_handguard,Weapon Mods,64,G76 長護木
00348,weapon.mod.fanaz_20_round_magazine,Weapon Mods,64,Fanaz 20發彈匣
00349,weapon.mod.muzzle_brake_5_56x45_tvs_cqb,Weapon Mods,64,5.56x45 TVS CQB 制退器
00350,weapon.mod.tr_15_stock_ktr_green,Weapon Mods,64,TR-15 KTR 綠色槍托
00351,weapon.mod.tr_15_handguard_tnr_mt16,Weapon Mods,64,TR-15 TNR mt16 護木
00352,weapon.mod.sector_50_rounds_magazine,Weapon Mods,64,Sector 50發彈鼓
00353,weapon.mod.tr_15_muzzle_brake,Weapon Mods,64,TR-15 槍口制退器
00354,weapon.mod.stv_40_handguard,Weapon Mods,64,STV-40 護木
00355,weapon.mod.stas_12_attachment_rail,Weapon Mods,64,Stas 12 導軌
00356,weapon.mod.suppressor_5_45x39_hexaboom,Weapon Mods,64,5.45x39 Hexaboom 消音器
00357,weapon.mod.ec_101_standard_magazine,Weapon Mods,64,EC-101 標準彈匣
00358,weapon.mod.break_scope,Weapon Mods,64,Break 瞄準鏡
00359,weapon.mod.renindon_700_clip_magazine,Weapon Mods,64,Renindon 700 彈匣
00360,weapon.mod.nb5_30_round_magazine,Weapon Mods,64,NB5 30發彈匣
00361,weapon.mod.n1o_skop_magazine_30_round,Weapon Mods,64,N1o/Skop 30發彈匣
00362,weapon.mod.grusa_tactical_barrel,Weapon Mods,64,Grusa 戰術槍管
00363,weapon.mod.edl_pistol_grip,Weapon Mods,64,EDL 手槍握把
00364,weapon.mod.sha_12_standard_sight,Weapon Mods,64,Sha-12 標準瞄具
00365,weapon.mod.tr_15_b_mag_magazine_gen_t3_green,Weapon Mods,64,TR-15 B 彈匣 GEN T3
00366,weapon.mod.tr_15_lyua_c_handguard,Weapon Mods,64,TR-15 LYUA-C 護木
00367,weapon.mod.modern_tactical_torch,Weapon Mods,64,現代戰術手電筒
00368,weapon.mod.frd_advanced_handguard,Weapon Mods,64,FRD 高級護木
00369,weapon.mod.ec_b_mag_magazine_gen_t3,Weapon Mods,64,EC B 彈匣 GEN T3
00370,weapon.mod.suppressor_762x54,Weapon Mods,64,7.62x54R 消音器
00371,weapon.mod.nts_red_dot,Weapon Mods,64,NTS 紅點瞄準鏡
00372,weapon.mod.skop_short_barrel,Weapon Mods,64,Skop 短槍管
00373,weapon.mod.bb_91_30_round_magazine,Weapon Mods,64,BB 91 30發彈匣
00374,weapon.mod.nb153_handguard,Weapon Mods,64,NB153 護木
00375,weapon.mod.grusa_50_round_magazine,Weapon Mods,64,Grusa 50發彈鼓
00376,weapon.mod.g76_short_handguard_desert,Weapon Mods,64,G76 沙色短護木
00377,weapon.mod.fanaz_advanced_rail,Weapon Mods,64,Fanaz 高級導軌
00378,weapon.mod.muzzle_brake_5_45x39_zpww,Weapon Mods,64,5.45x39 ZPWW 制退器
00379,weapon.mod.tr_15_stock_ktr_black,Weapon Mods,64,TR-15 KTR 黑色槍托
